diode,ip,pw,rw,cl,epush_pJ,epull_pJ,ecyc1_pJ,ecyc2_pJ,ecycT_pJ,railA_V,railB_V,rail_ok_0.25
ID,0.2m,0.5n,100,0.5p,0.0113,0.0113,0.0113,-0.0043,0.0070,0.0223,-0.0223,N
ID,0.2m,0.5n,100,1p,0.0078,0.0078,0.0078,-0.0023,0.0055,0.0140,-0.0140,N
ID,0.2m,0.5n,500,0.5p,0.0204,0.0204,0.0204,0.0048,0.0252,0.0223,-0.0223,N
ID,0.2m,0.5n,500,1p,0.0169,0.0169,0.0169,0.0068,0.0238,0.0140,-0.0140,N
ID,0.2m,10n,100,0.5p,1.5182,1.5182,1.5182,1.0416,2.5598,0.0995,-0.0995,N
ID,0.2m,10n,100,1p,1.3804,1.3804,1.3804,0.6269,2.0073,0.0988,-0.0988,N
ID,0.2m,10n,500,0.5p,1.6995,1.6995,1.6995,1.2229,2.9224,0.0995,-0.0995,N
ID,0.2m,10n,500,1p,1.5617,1.5617,1.5617,0.8082,2.3699,0.0988,-0.0988,N
ID,0.2m,1n,100,0.5p,0.0387,0.0387,0.0387,-0.0234,0.0153,0.0244,-0.0244,N
ID,0.2m,1n,100,1p,0.0260,0.0260,0.0260,-0.0144,0.0116,0.0151,-0.0151,N
ID,0.2m,1n,500,0.5p,0.0569,0.0569,0.0569,-0.0053,0.0517,0.0244,-0.0244,N
ID,0.2m,1n,500,1p,0.0442,0.0442,0.0442,0.0038,0.0480,0.0151,-0.0151,N
ID,0.2m,3n,100,0.5p,0.2923,0.2923,0.2923,-0.0497,0.2426,0.0729,-0.0729,N
ID,0.2m,3n,100,1p,0.2008,0.2008,0.2008,-0.1442,0.0566,0.0193,-0.0193,N
ID,0.2m,3n,500,0.5p,0.3467,0.3467,0.3467,0.0047,0.3515,0.0729,-0.0729,N
ID,0.2m,3n,500,1p,0.2552,0.2552,0.2552,-0.0898,0.1654,0.0193,-0.0193,N
ID,0.5m,0.5n,100,0.5p,0.0703,0.0703,0.0703,-0.0267,0.0437,0.0588,-0.0588,N
ID,0.5m,0.5n,100,1p,0.0489,0.0489,0.0489,-0.0143,0.0346,0.0361,-0.0361,N
ID,0.5m,0.5n,500,0.5p,0.1273,0.1273,0.1273,0.0304,0.1577,0.0588,-0.0588,N
ID,0.5m,0.5n,500,1p,0.1059,0.1059,0.1059,0.0428,0.1486,0.0361,-0.0361,N
ID,0.5m,10n,100,0.5p,5.2833,5.2834,5.2833,4.7007,9.9840,0.2495,-0.2495,N
ID,0.5m,10n,100,1p,5.0504,5.0504,5.0504,4.1213,9.1717,0.2493,-0.2493,N
ID,0.5m,10n,500,0.5p,6.4166,6.4166,6.4166,5.8340,12.2506,0.2495,-0.2495,N
ID,0.5m,10n,500,1p,6.1837,6.1837,6.1837,5.2546,11.4383,0.2493,-0.2493,N
ID,0.5m,1n,100,0.5p,0.2398,0.2398,0.2398,-0.0508,0.1890,0.0934,-0.0934,N
ID,0.5m,1n,100,1p,0.1625,0.1625,0.1625,-0.0883,0.0742,0.0418,-0.0418,N
ID,0.5m,1n,500,0.5p,0.3535,0.3535,0.3535,0.0629,0.4163,0.0934,-0.0934,N
ID,0.5m,1n,500,1p,0.2762,0.2762,0.2762,0.0254,0.3016,0.0418,-0.0418,N
ID,0.5m,3n,100,0.5p,1.2963,1.2963,1.2963,0.7874,2.0837,0.2430,-0.2430,N
ID,0.5m,3n,100,1p,1.0795,1.0795,1.0795,0.3202,1.3997,0.2125,-0.2125,N
ID,0.5m,3n,500,0.5p,1.6364,1.6364,1.6364,1.1275,2.7639,0.2430,-0.2430,N
ID,0.5m,3n,500,1p,1.4196,1.4196,1.4196,0.6603,2.0799,0.2125,-0.2125,N
ID,1m,0.5n,100,0.5p,0.2801,0.2801,0.2801,-0.0107,0.2694,0.1426,-0.1426,N
